trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.13384956498027,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.63024366319735,"{0: 12, 1: 0, 2: 7, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-324.7444649863807,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.71299393522465,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.79600569599467,"{0: 15, 1: 0, 2: 11, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.85219824663909,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-288.4965121356669,"{0: 10, 1: 0, 2: 8, 3: 3, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.32112194861966,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.49913884457808,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.75498198349663,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.28202008489598,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.12166557950047,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,8,-117.97696349886319,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.49316441274289,"{0: 12, 1: 0, 2: 9, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.15581549986754,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.55256885988447,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,16,-40.10058403131691,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.20462670254452,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.04347781668076,"{0: 17, 1: 0, 2: 7, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.60886842990051,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-322.10630519472085,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.0339869414148,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,5,-203.023540899833,"{0: 15, 1: 0, 2: 12, 3: 1, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-265.6112903113457,"{0: 8, 1: 0, 2: 12, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.97954911168874,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-185.53174316846173,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,16,7.568136308552769,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.1665567706415,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.05841266653589,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-228.9295218606744,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
